file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,145,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,18
style.css,146,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,0
style.css,147,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,0
style.css,148,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,3
style.css,149,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,17
style.css,150,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,13
style.css,151,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,0
style.css,152,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,0
style.css,153,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,26
style.css,154,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,27
style.css,155,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,39
style.css,156,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,53
style.css,157,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,0
style.css,158,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,0
style.css,159,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,0
